imu_time,image_time,omega_x,omega_y,omega_z,a_x,a_y,a_z,quat_w,quat_x,quat_y,quat_z
1.7729360848152015e+18,Sat_07_Mar_2026_19_14_55,0.00046756010851822793,-2.4154333004844375e-05,0.0005132647347636521,-0.037993866950273514,-0.06605681031942368,-9.437091827392578,0.9999061822891235,7.567012971776421e-07,-5.241968210611958e-07,0.013700317591428757
1.7729360889522898e+18,Sat_07_Mar_2026_19_14_59,-1.0835951566696167,-1.2141852378845215,-0.0229435283690691,0.07350875437259674,0.014145396649837494,-4.7527689933776855,0.9919294714927673,-0.09063833951950073,-0.0881270095705986,0.00970803014934063
1.7729360889522898e+18,Sat_07_Mar_2026_19_14_59,-1.0835951566696167,-1.2141852378845215,-0.0229435283690691,0.07350875437259674,0.014145396649837494,-4.7527689933776855,0.9919294714927673,-0.09063833951950073,-0.0881270095705986,0.00970803014934063
1.7729360889522898e+18,Sat_07_Mar_2026_19_14_59,-1.0835951566696167,-1.2141852378845215,-0.0229435283690691,0.07350875437259674,0.014145396649837494,-4.7527689933776855,0.9919294714927673,-0.09063833951950073,-0.0881270095705986,0.00970803014934063
1.7729360889552899e+18,Sat_07_Mar_2026_19_14_59,-1.0314323902130127,-1.1665724515914917,-0.025559768080711365,0.0812067985534668,0.017407778650522232,-4.862429141998291,0.9916264414787292,-0.09218606352806091,-0.0899152085185051,0.009695231914520264
1.7729360889552899e+18,Sat_07_Mar_2026_19_14_59,-1.0314323902130127,-1.1665724515914917,-0.025559768080711365,0.0812067985534668,0.017407778650522232,-4.862429141998291,0.9916264414787292,-0.09218606352806091,-0.0899152085185051,0.009695231914520264
1.7729360889552899e+18,Sat_07_Mar_2026_19_14_59,-1.0314323902130127,-1.1665724515914917,-0.025559768080711365,0.0812067985534668,0.017407778650522232,-4.862429141998291,0.9916264414787292,-0.09218606352806091,-0.0899152085185051,0.009695231914520264
1.77293608895829e+18,Sat_07_Mar_2026_19_14_59,-0.99034184217453,-1.121800184249878,-0.02673010714352131,0.012479616329073906,-0.09569261968135834,-4.933959007263184,0.9913307428359985,-0.09366212040185928,-0.09163548052310944,0.00968256313353777
1.77293608895829e+18,Sat_07_Mar_2026_19_14_59,-0.99034184217453,-1.121800184249878,-0.02673010714352131,0.012479616329073906,-0.09569261968135834,-4.933959007263184,0.9913307428359985,-0.09366212040185928,-0.09163548052310944,0.00968256313353777
1.77293608895829e+18,Sat_07_Mar_2026_19_14_59,-0.99034184217453,-1.121800184249878,-0.02673010714352131,0.012479616329073906,-0.09569261968135834,-4.933959007263184,0.9913307428359985,-0.09366212040185928,-0.09163548052310944,0.00968256313353777
